id,area,ritual,persona,cadence,recommendedSchedule,mode,minimumLicense,nativeScheduling,dataNeeded,complexity,priority,score,expectedOutput,whyItHelps,prompt,adoptionNote,governance,trainingUse,tags,source,sourceType,url
PA-001,Lideranca e gestao,Briefing matinal de foco,"CEO, diretor, gerente, coordenador",Diario,"Dias uteis, 07:30",Prompt agendado nativo,Microsoft 365 Copilot add-on,Sim,"Outlook, Teams, calendario",Baixa,Alta,89,"Lista de foco do dia com prioridades, pessoas, reunioes e proximas acoes.",Transforma a primeira olhada no email/Teams em uma agenda de foco.,"Revise meus emails, mensagens do Teams e calendario das ultimas 24 horas relacionados a decisoes, prioridades, escalacoes, reunioes e comunicacao executiva. Entregue um briefing de comeco de dia com:
1. Tres prioridades que exigem minha atencao hoje.
2. Pessoas ou grupos que esperam resposta minha.
3. Reunioes criticas do dia e o que devo preparar.
4. Riscos, prazos ou compromissos mencionados.
Use uma tabela curta com prioridade, contexto, proxima acao e prazo. Nao invente informacoes; se algo nao estiver claro, marque como ""validar"".","Rode o prompt uma vez no Copilot Chat/Teams/Outlook, valide a resposta, depois use Schedule this prompt. Comece com 1 ou 2 rituais por usuario.","Resultados dependem das permissoes do usuario. Revisar fontes citadas, evitar informacao sensivel no resumo e nao automatizar decisoes criticas sem humano.","Demo de 5 minutos: mostre como sair de ""abrir tudo"" para uma lista de foco de gestao.","daily briefing, foco, email, Teams",Microsoft Support - Schedule Copilot prompts,Oficial / experiencia do usuario,https://support.microsoft.com/en-us/microsoft-365-copilot/schedule-your-most-used-copilot-prompts
PA-002,Lideranca e gestao,Triagem de mensagens e pendencias,"CEO, diretor, gerente, coordenador",Diario,"Dias uteis, 08:00",Prompt agendado nativo,Microsoft 365 Copilot add-on,Sim,"Outlook, Teams",Baixa,Alta,89,Fila priorizada de mensagens e pendencias.,Reduz a ansiedade de caixa de entrada e acelera o comeco da execucao.,"Analise meus emails e mensagens do Teams recebidos desde o fim do ultimo dia util sobre decisoes, escalacoes, compromissos, atualizacoes de time. Classifique em:
- Responder hoje.
- Fazer sem responder.
- Acompanhar esta semana.
- Somente informativo.
Para cada item, indique remetente/canal, resumo em uma frase, motivo da prioridade e acao sugerida. Destaque qualquer prazo, palavra como urgente, bloqueado, aprovado, reprovado, atraso ou risco.","Rode o prompt uma vez no Copilot Chat/Teams/Outlook, valide a resposta, depois use Schedule this prompt. Comece com 1 ou 2 rituais por usuario.","Resultados dependem das permissoes do usuario. Revisar fontes citadas, evitar informacao sensivel no resumo e nao automatizar decisoes criticas sem humano.","Demo por area: adapte os placeholders para diretoria, gestores, clientes estrategicos, time direto e rode com dados recentes.","inbox, pendencias, follow-up",Microsoft Support - Schedule Copilot prompts,Oficial / experiencia do usuario,https://support.microsoft.com/en-us/microsoft-365-copilot/schedule-your-most-used-copilot-prompts
PA-003,Lideranca e gestao,Preparacao antes de reuniao,"CEO, diretor, gerente, coordenador",Antes de reuniao,30 a 45 min antes de reunioes importantes,Lembrete manual recorrente,Copilot Chat sem add-on no Outlook ou Microsoft 365 Copilot,Nao,"Calendario, emails e contexto aberto",Baixa,Media,78,"Briefing de reuniao com contexto, perguntas e posicionamento.",Ajuda usuarios novos a ver valor imediato sem construir agente.,"Prepare um briefing para minha proxima reuniao sobre gestao. Use o convite, participantes, emails recentes e contexto que estiver disponivel. Estruture em:
1. Objetivo provavel da reuniao.
2. Historico recente relevante.
3. Decisoes ou pendencias que podem aparecer.
4. Perguntas que devo fazer.
5. Meu posicionamento sugerido.
Se faltar contexto, liste exatamente quais arquivos ou conversas devo abrir/anexar antes de reenviar.",Crie um compromisso recorrente no Outlook/Teams/To Do com o prompt salvo. O usuario executa manualmente e anexa/abre os arquivos certos.,Nao colar dados sensiveis desnecessarios; anexar apenas arquivos permitidos; validar resumo antes de tomar decisao.,"Demo por area: adapte os placeholders para diretoria, gestores, clientes estrategicos, time direto e rode com dados recentes.","meeting prep, agenda, contexto",Microsoft Support - Copilot Chat com e sem add-on,Oficial / licenciamento,https://support.microsoft.com/en-US/Microsoft-365-Copilot/how-copilot-chat-works-in-microsoft-365-apps
PA-004,Lideranca e gestao,Fechamento do dia e compromissos assumidos,"CEO, diretor, gerente, coordenador",Diario,"Dias uteis, 17:30",Prompt agendado nativo,Microsoft 365 Copilot add-on,Sim,"Outlook, Teams, calendario",Baixa,Alta,89,Lista de compromissos assumidos e tarefas para o dia seguinte.,Cria disciplina de follow-up sem depender da memoria.,"Revise minhas interacoes de hoje em Outlook, Teams e reunioes sobre decisoes, prioridades, escalacoes, reunioes e comunicacao executiva. Extraia todos os compromissos que eu assumi ou que ficaram atribuidos a mim. Para cada compromisso, informe: compromisso, para quem, prazo citado, evidencia/fonte e acao recomendada para amanha. Separe ""confirmado"" de ""inferido"". Termine com uma lista de ate 5 itens para colocar no meu To Do.","Rode o prompt uma vez no Copilot Chat/Teams/Outlook, valide a resposta, depois use Schedule this prompt. Comece com 1 ou 2 rituais por usuario.","Resultados dependem das permissoes do usuario. Revisar fontes citadas, evitar informacao sensivel no resumo e nao automatizar decisoes criticas sem humano.","Demo por area: adapte os placeholders para diretoria, gestores, clientes estrategicos, time direto e rode com dados recentes.","fim do dia, compromissos, follow-up",Microsoft Support - Schedule Copilot prompts,Oficial / experiencia do usuario,https://support.microsoft.com/en-us/microsoft-365-copilot/schedule-your-most-used-copilot-prompts
PA-005,Lideranca e gestao,Planejamento de segunda-feira,"CEO, diretor, gerente, coordenador",Semanal,"Segunda-feira, 08:00",Prompt agendado nativo,Microsoft 365 Copilot add-on,Sim,"Outlook, Teams, calendario",Media,Exploratoria,67,"Plano semanal com prioridades, riscos, delegacoes e conflitos de agenda.",Transforma informacao acumulada em planejamento semanal acionavel.,"Revise emails, Teams e calendario dos ultimos 7 dias para montar meu plano semanal de gestao. Agrupe por decisoes, escalacoes, compromissos, atualizacoes de time. Para cada grupo, traga: status atual, pendencia critica, quem esta envolvido, risco da semana, proxima acao e melhor horario sugerido para atacar. Destaque conflitos de agenda e itens que devem ser delegados.","Rode o prompt uma vez no Copilot Chat/Teams/Outlook, valide a resposta, depois use Schedule this prompt. Comece com 1 ou 2 rituais por usuario.","Resultados dependem das permissoes do usuario. Revisar fontes citadas, evitar informacao sensivel no resumo e nao automatizar decisoes criticas sem humano.","Demo por area: adapte os placeholders para diretoria, gestores, clientes estrategicos, time direto e rode com dados recentes.","segunda, planejamento, semana",Microsoft Support - Schedule Copilot prompts,Oficial / experiencia do usuario,https://support.microsoft.com/en-us/microsoft-365-copilot/schedule-your-most-used-copilot-prompts
PA-006,Lideranca e gestao,Check de quarta: follow-ups que estao esfriando,"CEO, diretor, gerente, coordenador",Semanal,"Quarta-feira, 09:00",Prompt agendado nativo,Microsoft 365 Copilot add-on,Sim,"Outlook, Teams",Media,Exploratoria,67,Follow-ups atrasados com texto sugerido para reativar.,Evita que a semana avance com pendencias escondidas.,"Procure nas minhas mensagens enviadas e conversas da semana itens de gestao em que alguem ficou de responder, aprovar, enviar arquivo ou desbloquear algo. Liste apenas itens sem resposta clara. Para cada item, informe dono, ultima interacao, dias sem retorno, impacto provavel e uma sugestao de follow-up em tom profissional.","Rode o prompt uma vez no Copilot Chat/Teams/Outlook, valide a resposta, depois use Schedule this prompt. Comece com 1 ou 2 rituais por usuario.","Resultados dependem das permissoes do usuario. Revisar fontes citadas, evitar informacao sensivel no resumo e nao automatizar decisoes criticas sem humano.","Demo por area: adapte os placeholders para diretoria, gestores, clientes estrategicos, time direto e rode com dados recentes.","quarta, follow-up, pendencias",Microsoft Support - Schedule Copilot prompts,Oficial / experiencia do usuario,https://support.microsoft.com/en-us/microsoft-365-copilot/schedule-your-most-used-copilot-prompts
PA-007,Lideranca e gestao,Registro semanal de decisoes e riscos,"CEO, diretor, gerente, coordenador",Semanal,"Sexta-feira, 16:30",Prompt agendado nativo,Microsoft 365 Copilot add-on,Sim,"Outlook, Teams, calendario",Media,Exploratoria,67,Decision log e risk log da semana.,Cria memoria operacional para reunioes e status report.,"Resuma as principais decisoes, riscos e mudancas de direcao da semana relacionados a decisoes, prioridades, escalacoes, reunioes e comunicacao executiva. Entregue tres secoes:
1. Decisoes tomadas, com fonte e participantes.
2. Riscos ou blockers ainda abertos, com dono provavel.
3. Comunicados que precisam ser enviados na proxima semana.
Use linguagem factual e curta; diferencie decisao confirmada de opiniao ou sinal fraco.","Rode o prompt uma vez no Copilot Chat/Teams/Outlook, valide a resposta, depois use Schedule this prompt. Comece com 1 ou 2 rituais por usuario.","Resultados dependem das permissoes do usuario. Revisar fontes citadas, evitar informacao sensivel no resumo e nao automatizar decisoes criticas sem humano.","Demo por area: adapte os placeholders para diretoria, gestores, clientes estrategicos, time direto e rode com dados recentes.","sexta, decisoes, riscos",GitHub - awesome-microsoft-copilot-prompts scheduled prompts,Comunidade / GitHub,https://github.com/kesslernity/awesome-microsoft-copilot-prompts/blob/main/prompts/scheduled-prompts/README.md
PA-008,Lideranca e gestao,Resumo mensal executivo,"CEO, diretor, gerente, coordenador",Mensal,"Ultima sexta-feira do mes, 15:00",Prompt agendado nativo,Microsoft 365 Copilot add-on,Sim,"Outlook, Teams, calendario",Media,Exploratoria,67,Resumo mensal para diretoria ou checkpoint de area.,Ajuda a transformar conversas dispersas em narrativa executiva.,"Revise comunicacoes, reunioes e mensagens dos ultimos 30 dias sobre gestao. Crie um resumo executivo de uma pagina com: conquistas, problemas recorrentes, decisoes pendentes, riscos emergentes, pessoas-chave envolvidas e recomendacoes para o proximo mes. Inclua uma secao ""evidencias usadas"" com tipos de fonte, sem expor conteudo sensivel desnecessario.","Rode o prompt uma vez no Copilot Chat/Teams/Outlook, valide a resposta, depois use Schedule this prompt. Comece com 1 ou 2 rituais por usuario.","Resultados dependem das permissoes do usuario. Revisar fontes citadas, evitar informacao sensivel no resumo e nao automatizar decisoes criticas sem humano.","Demo por area: adapte os placeholders para diretoria, gestores, clientes estrategicos, time direto e rode com dados recentes.","mensal, executivo, status",Microsoft Signal - Manager meeting briefing,Oficial / exemplo pratico,https://news.microsoft.com/signal/articles/an-easy-way-to-prep-for-a-meeting-with-the-boss/
PA-009,Lideranca e gestao,Revisao com arquivos anexados,"CEO, diretor, gerente, coordenador",Recorrente manual,Quando receber novos arquivos ou antes do checkpoint semanal,Lembrete manual recorrente,Copilot Chat sem add-on + arquivos,Nao,"Arquivos anexados, PDFs, Word, PowerPoint, Excel, CSV",Baixa,Media,78,Resumo/comparacao de arquivos com perguntas e riscos.,Funciona bem para usuarios sem add-on: basta anexar arquivos e repetir o ritual.,"Use os arquivos anexados sobre gestao: atas, OKRs, relatorios semanais, plano de metas, apresentacoes. Primeiro, resuma o conteudo de cada arquivo em ate 5 linhas. Depois, compare os arquivos e entregue:
- divergencias relevantes;
- informacoes faltantes;
- riscos ou inconsistencias;
- perguntas que eu devo fazer ao dono do material;
- versao final recomendada ou proximo passo.
Nao use conhecimento externo se a resposta depender dos arquivos.",Crie um compromisso recorrente no Outlook/Teams/To Do com o prompt salvo. O usuario executa manualmente e anexa/abre os arquivos certos.,Nao colar dados sensiveis desnecessarios; anexar apenas arquivos permitidos; validar resumo antes de tomar decisao.,Demo sem add-on: entregue 2 ou 3 arquivos de gestao e peca uma comparacao com riscos e perguntas.,"sem add-on, arquivos, resumo, comparacao",Microsoft Support - Get started with Copilot Chat,Oficial / Copilot Chat,https://support.microsoft.com/en-US/Microsoft-365-Copilot/get-started-with-microsoft-365-copilot-chat
PA-010,Lideranca e gestao,Analise recorrente de planilha ou CSV,"CEO, diretor, gerente, coordenador",Recorrente manual,Toda vez que houver novo CSV/planilha da rotina,Lembrete manual recorrente,Copilot Chat sem add-on + arquivos ou Excel com Copilot,Nao,"Planilha, CSV, TSV, relatorio exportado",Media,Exploratoria,70,"Analise de dados recorrente com achados, excecoes e proximo prompt.",Cria habito de usar Copilot como analista leve sem integrar sistemas.,"Analise a planilha/CSV anexado de gestao. Procure padroes, excecoes e inconsistencias ligadas a decisoes pendentes, riscos escalados, tempo de resposta, prioridades sem dono. Gere:
1. Top 5 achados com impacto.
2. Linhas/registros que merecem revisao humana.
3. Possiveis causas, separando fato de hipotese.
4. Grafico ou tabela sugerida para acompanhar semanalmente.
5. Prompt melhorado para eu repetir com a proxima exportacao.",Crie um compromisso recorrente no Outlook/Teams/To Do com o prompt salvo. O usuario executa manualmente e anexa/abre os arquivos certos.,Nao colar dados sensiveis desnecessarios; anexar apenas arquivos permitidos; validar resumo antes de tomar decisao.,"Demo sem conector: exporte uma planilha simples de gestao e peca excecoes, tendencias e grafico sugerido.","sem add-on, dados, CSV, Excel",Microsoft Adoption - Prompt Gallery,Oficial / galeria de prompts,https://adoption.microsoft.com/en-us/copilot/prompt-gallery/
